Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
LINC00945,ENSG00000232539,-1.29,8.65E-02, ,long intergenic non-protein coding RNA 945
LINC00951,ENSG00000204092,-0.813,2.70E-01, ,long intergenic non-protein coding RNA 951
LINC00954,ENSG00000228784,-0.7,2.78E-01,7.49E-01,long intergenic non-protein coding RNA 954
LINC00955,ENSG00000216560,0.491,4.12E-01, ,long intergenic non-protein coding RNA 955
LINC00957,ENSG00000235314,-0.125, , ,long intergenic non-protein coding RNA 957
LINC00958,ENSG00000251381,-0.255,6.50E-01,9.33E-01,long intergenic non-protein coding RNA 958
LINC00959,ENSG00000237489,-0.387,2.31E-01,7.10E-01,long intergenic non-protein coding RNA 959
LINC00960,ENSG00000242516,0.994,1.91E-01,6.60E-01,long intergenic non-protein coding RNA 960
LINC00961,ENSG00000235387,0.852,2.52E-01, ,long intergenic non-protein coding RNA 961
LINC00963,ENSG00000204054,0.253,5.80E-01,9.09E-01,long intergenic non-protein coding RNA 963
LINC00964,ENSG00000249816,-1.082,1.56E-01, ,long intergenic non-protein coding RNA 964
LINC00967,ENSG00000253138, , , ,long intergenic non-protein coding RNA 967
LINC00968,ENSG00000246430,1.684, , ,long intergenic non-protein coding RNA 968
LINC00970,ENSG00000203601,0.702,3.78E-01, ,long intergenic non-protein coding RNA 970
LINC00971,ENSG00000242641,-0.195,7.98E-01, ,long intergenic non-protein coding RNA 971
LINC00973,ENSG00000240476,2.695,1.82E-04,1.19E-02,long intergenic non-protein coding RNA 973
LINC00974,ENSG00000226629, , , ,long intergenic non-protein coding RNA 974
LINC00977,ENSG00000250400,0.447,5.59E-01, ,long intergenic non-protein coding RNA 977
LINC00982,ENSG00000177133,-0.607,4.46E-01,8.50E-01,long intergenic non-protein coding RNA 982
LINC00987,ENSG00000237248,-0.905,5.39E-02,3.88E-01,long intergenic non-protein coding RNA 987
LINC00989,ENSG00000250334,-0.218,7.34E-01, ,long intergenic non-protein coding RNA 989
LINC00992,ENSG00000248663,-0.061,9.14E-01, ,long intergenic non-protein coding RNA 992
LINC00993,ENSG00000235687,-0.376,4.48E-01, ,long intergenic non-protein coding RNA 993
LINC00994,ENSG00000189196,1.453,2.91E-02,2.84E-01,long intergenic non-protein coding RNA 994
LINC00996,ENSG00000242258,1.32,9.79E-02, ,long intergenic non-protein coding RNA 996
LINC00998,ENSG00000214194,-0.228,6.46E-01,9.33E-01,long intergenic non-protein coding RNA 998
LINC01001 (includes others),ENSG00000214837,-0.318,2.86E-01,7.55E-01,long intergenic non-protein coding RNA 1347
LINC01001 (includes others),ENSG00000230724,-0.043,8.86E-01,9.86E-01,long intergenic non-protein coding RNA 1347
LINC01001 (includes others),ENSG00000231512,-1.002,2.10E-01, ,long intergenic non-protein coding RNA 1347
LINC01003,ENSG00000261455,-0.664,6.59E-02,4.30E-01,long intergenic non-protein coding RNA 1003
LINC01004,ENSG00000228393,0.015,9.50E-01,9.95E-01,long intergenic non-protein coding RNA 1004
LINC01005,ENSG00000228564, , , ,long intergenic non-protein coding RNA 1005
LINC01007,ENSG00000233123,-0.535,3.40E-01, ,long intergenic non-protein coding RNA 1007
LINC01010,ENSG00000236700,1.021,1.69E-01, ,long intergenic non-protein coding RNA 1010
LINC01011,ENSG00000244041,-0.057,9.02E-01,9.88E-01,long intergenic non-protein coding RNA 1011
LINC01013,ENSG00000228495,2.187,1.34E-03,4.70E-02,long intergenic non-protein coding RNA 1013
LINC01014,ENSG00000223941,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 1014
LINC01015,ENSG00000229383, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000225426, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000226687, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000230674, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000224446, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000224582, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000233857, , , ,long intergenic non-protein coding RNA 1015
LINC01015,ENSG00000235788, , , ,long intergenic non-protein coding RNA 1015
LINC01016,ENSG00000249346,0.622,4.05E-01, ,long intergenic non-protein coding RNA 1016
LINC01017,ENSG00000250716, , , ,long intergenic non-protein coding RNA 1017
LINC01018,ENSG00000250056,0.08,9.03E-01,9.88E-01,long intergenic non-protein coding RNA 1018
LINC01019,ENSG00000248118,0.851, , ,long intergenic non-protein coding RNA 1019
LINC01020,ENSG00000215231, , , ,long intergenic non-protein coding RNA 1020
LINC01021,ENSG00000250337,1.593,2.24E-02,2.49E-01,long intergenic non-protein coding RNA 1021
LINC01022,ENSG00000232715,-0.067,9.06E-01, , 
LINC01023,ENSG00000272523,0.118,7.78E-01,9.66E-01,long intergenic non-protein coding RNA 1023
LINC01024,ENSG00000245146,1.239,1.10E-02,1.70E-01,long intergenic non-protein coding RNA 1024
LINC01028,ENSG00000267603,-0.368,6.17E-01, ,long intergenic non-protein coding RNA 1028
LINC01029,ENSG00000265843, , , ,long intergenic non-protein coding RNA 1029
LINC01030,ENSG00000253799,0.618,3.72E-01, ,long intergenic non-protein coding RNA 1030
LINC01031,ENSG00000232077,0.052,9.40E-01,9.93E-01,long intergenic non-protein coding RNA 1031
LINC01032,ENSG00000234871,0.3,6.71E-01, ,long intergenic non-protein coding RNA 1032
LINC01033,ENSG00000249069,0.228,7.71E-01, , 
LINC01034,ENSG00000224933, , , , 
LINC01035,ENSG00000226486, , , , 
LINC01036,ENSG00000236030,1.577,4.58E-02, ,long intergenic non-protein coding RNA 1036
LINC01037,ENSG00000231599,0.778,3.26E-01, , 
LINC01038,ENSG00000229011,0.598,3.49E-01, ,long intergenic non-protein coding RNA 1038
LINC01039,ENSG00000234168,0.843,2.77E-01, , 
LINC01040,ENSG00000226037,0.307,5.41E-01, ,long intergenic non-protein coding RNA 1040
LINC01043,ENSG00000260343,-0.824, , ,long intergenic non-protein coding RNA 1043
LINC01044,ENSG00000223626,-0.545,4.06E-01, , 
LINC01046,ENSG00000233405,0.289,5.55E-01, ,long intergenic non-protein coding RNA 1046
LINC01047,ENSG00000232225,-0.362,4.61E-01, , 
LINC01048,ENSG00000230390,2.286, , ,long intergenic non-protein coding RNA 1048
LINC01049,ENSG00000234384,0.163,8.16E-01, ,long intergenic non-protein coding RNA 1049
LINC01050,ENSG00000271216,1.494, , ,long intergenic non-protein coding RNA 1050
LINC01052,ENSG00000234767, , , , 
LINC01053,ENSG00000238169,0.481,4.18E-01, ,long intergenic non-protein coding RNA 1053
LINC01054,ENSG00000229723,0.622,3.36E-01, , 
LINC01055,ENSG00000235366,-0.046,9.36E-01, ,long intergenic non-protein coding RNA 1055
LINC01056,ENSG00000237119, , , ,long intergenic non-protein coding RNA 1056
LINC01057,ENSG00000224081,-0.391,4.78E-01,8.64E-01,long intergenic non-protein coding RNA 1057
LINC01058,ENSG00000225039,0.312,6.87E-01, ,long intergenic non-protein coding RNA 1058
LINC01060,ENSG00000249378,1.228,1.95E-02,2.29E-01,long intergenic non-protein coding RNA 1060
LINC01063,ENSG00000232065,-0.544,3.32E-01,7.90E-01,long intergenic non-protein coding RNA 1063
LINC01065,ENSG00000237092,-0.465,3.84E-01, ,long intergenic non-protein coding RNA 1065
LINC01066,ENSG00000230403, , , , 
LINC01068,ENSG00000227676,0.919,1.97E-01, ,long intergenic non-protein coding RNA 1068
LINC01069,ENSG00000236133, , , ,long intergenic non-protein coding RNA 1069
LINC01070,ENSG00000260102,-0.251,6.78E-01, ,long intergenic non-protein coding RNA 1070
LINC01072,ENSG00000236076,0.732,3.49E-01, , 
LINC01074,ENSG00000227611, , , , 
LINC01075,ENSG00000230142, , , ,long intergenic non-protein coding RNA 1075
LINC01076,ENSG00000225105, , , , 
LINC01078,ENSG00000223880, , , , 
LINC01079,ENSG00000229609,0.371,4.91E-01, , 
LINC01082,ENSG00000269186, , , ,long intergenic non-protein coding RNA 1082
LINC01085,ENSG00000248698,0.526,5.01E-01,8.75E-01,long intergenic non-protein coding RNA 1085
LINC01087,ENSG00000224559,1.076,1.72E-01, ,long intergenic non-protein coding RNA 1087
LINC01088,ENSG00000249307,-1.753,1.86E-02,2.23E-01,long intergenic non-protein coding RNA 1088
LINC01089,ENSG00000212694,-0.386,2.09E-01,6.81E-01,long intergenic non-protein coding RNA 1089
LINC01090,ENSG00000231689,-0.475,5.44E-01, , 
LINC01091,ENSG00000249464,0.934,8.83E-02,4.89E-01,long intergenic non-protein coding RNA 1091
LINC01093,ENSG00000249173, , , ,long intergenic non-protein coding RNA 1093
LINC01094,ENSG00000251442,0.2,6.94E-01,9.47E-01,long intergenic non-protein coding RNA 1094
LINC01095,ENSG00000248809,-0.362,4.61E-01, ,long intergenic non-protein coding RNA 1095
LINC01096,ENSG00000246095,-0.772,3.30E-01, ,long intergenic non-protein coding RNA 1096
LINC01098,ENSG00000231171,-0.535,3.40E-01, ,long intergenic non-protein coding RNA 1098
LINC01099,ENSG00000251504,0.676,3.92E-01, ,long intergenic non-protein coding RNA 1099
LINC01100,ENSG00000242107,0.301,5.46E-01, ,long intergenic non-protein coding RNA 1100
LINC01102,ENSG00000235597,-0.272,5.35E-01,8.91E-01,long intergenic non-protein coding RNA 1102
LINC01103,ENSG00000234781,0.307,5.41E-01, ,long intergenic non-protein coding RNA 1103
LINC01104,ENSG00000232084,0.911,2.33E-01,7.12E-01,long intergenic non-protein coding RNA 1104
LINC01105,ENSG00000232044,-0.451,5.03E-01,8.75E-01,long intergenic non-protein coding RNA 1105
LINC01106,ENSG00000175772,0.366,5.64E-01,9.05E-01,long intergenic non-protein coding RNA 1106
LINC01107,ENSG00000225493, , , ,long intergenic non-protein coding RNA 1107
LINC01108,ENSG00000226673,-0.302,6.97E-01, ,long intergenic non-protein coding RNA 1108
LINC01109,ENSG00000271167,-1.176,1.14E-01,5.45E-01,long intergenic non-protein coding RNA 1109
LINC01111,ENSG00000254300,0.833,2.75E-01, ,long intergenic non-protein coding RNA 1111
LINC01114,ENSG00000234177,-0.653,1.80E-01,6.50E-01,long intergenic non-protein coding RNA 1114
LINC01115,ENSG00000237667, , , ,long intergenic non-protein coding RNA 1115
LINC01116,ENSG00000163364,0.297,6.78E-01,9.43E-01,long intergenic non-protein coding RNA 1116
LINC01117,ENSG00000224577,0.428,5.55E-01,9.00E-01,long intergenic non-protein coding RNA 1117
LINC01118,ENSG00000222005,0.224,6.85E-01,9.44E-01,long intergenic non-protein coding RNA 1118
LINC01119,ENSG00000239332,-0.476,3.59E-01,8.08E-01,long intergenic non-protein coding RNA 1119
LINC01120,ENSG00000223631,0.178,8.00E-01, ,long intergenic non-protein coding RNA 1120
LINC01121,ENSG00000205054,0.252,6.83E-01, ,long intergenic non-protein coding RNA 1121
LINC01122,ENSG00000233723,-0.869,1.35E-01,5.81E-01,long intergenic non-protein coding RNA 1122
LINC01123,ENSG00000204588,0.476,4.29E-01,8.44E-01,long intergenic non-protein coding RNA 1123
LINC01124,ENSG00000222033,-0.529,5.07E-01, ,long intergenic non-protein coding RNA 1124
LINC01125,ENSG00000228486,0.205,3.77E-01,8.17E-01,long intergenic non-protein coding RNA 1125
LINC01128,ENSG00000228794,0.181,6.83E-01,9.43E-01,long intergenic non-protein coding RNA 1128
LINC01132,ENSG00000227630,-0.281,6.80E-01,9.43E-01,long intergenic non-protein coding RNA 1132
LINC01133,ENSG00000224259,0.575,4.28E-01,8.44E-01,long intergenic non-protein coding RNA 1133
LINC01134,ENSG00000236423,0.758,1.43E-01,5.95E-01,long intergenic non-protein coding RNA 1134
LINC01135,ENSG00000234807,-1.218,4.07E-02,3.39E-01,long intergenic non-protein coding RNA 1135
LINC01136,ENSG00000233791,-0.388,5.08E-01,8.78E-01,long intergenic non-protein coding RNA 1136
LINC01137,ENSG00000233621,1.109,4.14E-02,3.42E-01,long intergenic non-protein coding RNA 1137
LINC01139,ENSG00000215808,1.265,1.10E-01,5.40E-01,long intergenic non-protein coding RNA 1139
LINC01140,ENSG00000267272,0.28,7.06E-01, ,long intergenic non-protein coding RNA 1140
LINC01141,ENSG00000236963,-0.359,5.82E-01, ,long intergenic non-protein coding RNA 1141
LINC01142,ENSG00000224286,-0.373,6.41E-01, ,long intergenic non-protein coding RNA 1142
LINC01143,ENSG00000237751,0.603,3.46E-01, , 
LINC01146,ENSG00000258867, , , ,long intergenic non-protein coding RNA 1146
LINC01149,ENSG00000230174,0.581,4.55E-01, ,long intergenic non-protein coding RNA 1149
LINC01149,ENSG00000234858, , , ,long intergenic non-protein coding RNA 1149
LINC01149,ENSG00000231836, , , ,long intergenic non-protein coding RNA 1149
LINC01149,ENSG00000226768, , , ,long intergenic non-protein coding RNA 1149
LINC01150,ENSG00000229671, , , ,long intergenic non-protein coding RNA 1150
LINC01151,ENSG00000253819,0.356,6.21E-01, , 
LINC01152,ENSG00000256124,-0.065,9.32E-01,9.92E-01,long intergenic non-protein coding RNA 1152
LINC01153,ENSG00000227143, , , ,long intergenic non-protein coding RNA 1153
LINC01154,ENSG00000257477,-0.061,9.14E-01, ,LINC01154 lincRNA
LINC01158,ENSG00000233639,-1.196,3.96E-02,3.34E-01,long intergenic non-protein coding RNA 1158
LINC01159,ENSG00000229743,-1.529,1.23E-02,1.78E-01,long intergenic non-protein coding RNA 1159
LINC01160,ENSG00000231346,0.463,2.99E-01,7.66E-01,long intergenic non-protein coding RNA 1160
LINC01162,ENSG00000232790, , , , 
LINC01164,ENSG00000189275,3.818,3.93E-07,8.71E-05,long intergenic non-protein coding RNA 1164
LINC01165,ENSG00000229081,-0.733,2.11E-01,6.84E-01,long intergenic non-protein coding RNA 1165
LINC01166,ENSG00000232903,0.401,5.87E-01, ,long intergenic non-protein coding RNA 1166
LINC01167,ENSG00000224758, , , ,long intergenic non-protein coding RNA 1167
LINC01168,ENSG00000240707,-0.376,4.48E-01, ,long intergenic non-protein coding RNA 1168
LINC01169,ENSG00000259471,0.395,6.17E-01, ,long intergenic non-protein coding RNA 1169
LINC01170,ENSG00000253807,-1.554,3.52E-02, ,long intergenic non-protein coding RNA 1170
LINC01177,ENSG00000261397,0.301,5.46E-01, ,long intergenic non-protein coding RNA 1177
LINC01179,ENSG00000249500,-0.792,2.99E-01, ,long intergenic non-protein coding RNA 1179
LINC01180,ENSG00000266979,0.378,6.32E-01, ,long intergenic non-protein coding RNA 1180
LINC01181,ENSG00000250929,-0.159,8.42E-01, ,long intergenic non-protein coding RNA 1181
LINC01182,ENSG00000250634,0.433,5.59E-01,9.02E-01,long intergenic non-protein coding RNA 1182
LINC01183,ENSG00000230561,-0.04,9.57E-01, ,long intergenic non-protein coding RNA 1183
LINC01184,ENSG00000245937,0.086,6.65E-01,9.39E-01,long intergenic non-protein coding RNA 1184
LINC01185,ENSG00000228414,-1.337,6.44E-02, ,long intergenic non-protein coding RNA 1185
LINC01186,ENSG00000236751,1.141,1.16E-01, ,long intergenic non-protein coding RNA 1186
LINC01187,ENSG00000249601,0.47,4.25E-01, ,long intergenic non-protein coding RNA 1187
LINC01189,ENSG00000232827, , , ,long intergenic non-protein coding RNA 1189
LINC01191,ENSG00000234199,1.248,7.97E-02, ,long intergenic non-protein coding RNA 1191
LINC01192,ENSG00000241369,-0.201,8.00E-01, ,long intergenic non-protein coding RNA 1192
LINC01193,ENSG00000258710,-0.067,9.06E-01, ,long intergenic non-protein coding RNA 1193
LINC01194,ENSG00000248131, , , ,long intergenic non-protein coding RNA 1194
LINC01195,ENSG00000261075, , , ,long intergenic non-protein coding RNA 1195
LINC01197,ENSG00000248441,0.302,6.97E-01,9.47E-01,long intergenic non-protein coding RNA 1197
LINC01198,ENSG00000231817,-0.632,4.28E-01, ,long intergenic non-protein coding RNA 1198
LINC01201,ENSG00000228659,-0.834, , , 
LINC01203,ENSG00000226985,0.529,4.72E-01, ,long intergenic non-protein coding RNA 1203
LINC01204,ENSG00000229563,1.443,5.44E-02, ,long intergenic non-protein coding RNA 1204
LINC01205,ENSG00000228980,-0.296,7.11E-01, ,long intergenic non-protein coding RNA 1205
LINC01206,ENSG00000242512,-0.655,3.32E-01,7.90E-01,long intergenic non-protein coding RNA 1206
LINC01207,ENSG00000248771,1.318,9.87E-02, ,long intergenic non-protein coding RNA 1207
LINC01208,ENSG00000223715,1.104,1.21E-01, ,long intergenic non-protein coding RNA 1208
LINC01209,ENSG00000228308,-0.01,9.85E-01,9.98E-01,long intergenic non-protein coding RNA 1209
LINC01210,ENSG00000239513,-1.636, , ,long intergenic non-protein coding RNA 1210
LINC01212,ENSG00000240405,1.059,1.79E-01, ,long intergenic non-protein coding RNA 1212
LINC01213,ENSG00000244541,0.49,5.36E-01, ,long intergenic non-protein coding RNA 1213
LINC01214,ENSG00000243550, , , ,long intergenic non-protein coding RNA 1214
LINC01215,ENSG00000271856,-0.797,2.72E-01, ,long intergenic non-protein coding RNA 1215
LINC01216,ENSG00000250223, , , ,long intergenic non-protein coding RNA 1216
LINC01217,ENSG00000251219,0.481,4.18E-01, ,long intergenic non-protein coding RNA 1217
LINC01218,ENSG00000251636,0.307,5.41E-01, ,long intergenic non-protein coding RNA 1218
LINC01219,ENSG00000232987,-0.724,3.56E-01, , 
LINC01220,ENSG00000259687,0.363,5.50E-01,8.98E-01,long intergenic non-protein coding RNA 1220
LINC01221,ENSG00000235492,-0.38,4.45E-01, , 
LINC01222,ENSG00000233410,0.47,4.25E-01, ,long intergenic non-protein coding RNA 1222
LINC01224,ENSG00000269416,-0.732,2.09E-01,6.81E-01, 
LINC01225,ENSG00000260386, , , ,long intergenic non-protein coding RNA 1225
LINC01226,ENSG00000223907,0.622,4.07E-01, ,long intergenic non-protein coding RNA 1226
LINC01227,ENSG00000260737,0.307,5.41E-01, ,long intergenic non-protein coding RNA 1227
LINC01228,ENSG00000261082,-0.38,4.45E-01, , 
LINC01229,ENSG00000260876,-0.906,2.28E-01, ,long intergenic non-protein coding RNA 1229
LINC01231,ENSG00000236511,0.183,7.93E-01, ,long intergenic non-protein coding RNA 1231
LINC01233,ENSG00000269364, , , ,long intergenic non-protein coding RNA 1233
LINC01234,ENSG00000249550,1.081,1.86E-02,2.23E-01,long intergenic non-protein coding RNA 1234
LINC01235,ENSG00000270547,-1.278,9.45E-02,5.03E-01,long intergenic non-protein coding RNA 1235
LINC01237,ENSG00000233806,-0.361,5.76E-01,9.09E-01,long intergenic non-protein coding RNA 1237
LINC01239,ENSG00000234840,2.271,4.73E-05,4.50E-03,long intergenic non-protein coding RNA 1239
LINC01241,ENSG00000236306,0.301,5.46E-01, ,long intergenic non-protein coding RNA 1241
LINC01243,ENSG00000260720,0.289,5.55E-01, ,long intergenic non-protein coding RNA 1243
LINC01246,ENSG00000236172,-0.902,2.49E-01, ,long intergenic non-protein coding RNA 1246
LINC01247,ENSG00000227007,-0.509,5.11E-01, ,long intergenic non-protein coding RNA 1247
LINC01248,ENSG00000224128,-1.225,4.20E-02, ,long intergenic non-protein coding RNA 1248
LINC01249,ENSG00000231532,-0.053,9.43E-01, ,long intergenic non-protein coding RNA 1249
LINC01250,ENSG00000234423,0.273,6.69E-01,9.41E-01,long intergenic non-protein coding RNA 1250
